symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,23/06/2022 01:50,134.83,134.82,134.84,134.78,10015,,,,,,
AAPL,23/06/2022 01:55,134.77,134.81,134.82,134.77,4167,,,,,,
AAPL,23/06/2022 02:00,134.83,134.81,134.84,134.8,2424,,,,,,
AAPL,23/06/2022 02:05,134.8,134.69,134.83,134.68,9629,,,,,,
AAPL,23/06/2022 02:10,134.66,134.64,134.7,134.62,5818,,,,,,
AAPL,23/06/2022 02:15,134.65,134.69,134.7,134.62,6750,,,,,,
AAPL,23/06/2022 02:20,134.66,134.5,134.69,134.48,12204,,,,,,
AAPL,23/06/2022 02:25,134.46,134.435,134.47,134.28,11409,,,,,,
AAPL,23/06/2022 02:30,134.4,134.36,134.43,134.25,6712,,,,,,
AAPL,23/06/2022 02:35,134.35,134.25,134.36,134.22,20719,,,,,,
AAPL,23/06/2022 02:40,134.22,134.3,134.3,134.22,6042,,,,,,
AAPL,23/06/2022 02:45,134.26,134.2,134.33,134.2,5814,,,,,,
AAPL,23/06/2022 02:50,134.21,134.26,134.3,134.2,11493,,,,,,
AAPL,23/06/2022 02:55,134.27,134.3,134.4,134.16,21725,,,,,,
AAPL,23/06/2022 11:00,134.94,135.18,135.18,134.52,-73400322,,,,,,
AAPL,23/06/2022 11:05,135.17,135.62,135.62,135.17,5996,,,,,,
AAPL,23/06/2022 11:10,135.63,135.87,135.96,135.62,19087,,,,,,
AAPL,23/06/2022 11:15,135.86,135.75,135.86,135.69,5219,,,,,,
AAPL,23/06/2022 11:20,135.76,135.78,135.8,135.71,1995,,,,,,
AAPL,23/06/2022 11:25,135.72,135.69,135.79,135.66,2885,,,,,,
AAPL,23/06/2022 11:30,135.66,135.64,135.78,135.64,5613,,,,,,
AAPL,23/06/2022 11:35,135.59,135.67,135.69,135.58,1673,,,,,,
AAPL,23/06/2022 11:40,135.6,135.73,135.78,135.58,3313,,,,,,
AAPL,23/06/2022 11:45,135.75,135.67,135.78,135.6,2451,,,,,,
AAPL,23/06/2022 11:50,135.74,135.59,135.74,135.58,3621,,,,,,
AAPL,23/06/2022 11:55,135.58,135.73,135.77,135.58,1767,,,,,,
AAPL,23/06/2022 12:00,135.62,135.78,135.89,135.62,2701,,,,,,
AAPL,23/06/2022 12:05,135.8,135.8,135.88,135.8,1171,,,,,,
AAPL,23/06/2022 12:10,135.86,135.99,136,135.8,3498,,,,,,
AAPL,23/06/2022 12:15,136,136.04,136.19,135.99,2279,,,,,,
AAPL,23/06/2022 12:20,136,136,136.05,135.94,1559,,,,,,
AAPL,23/06/2022 12:25,135.99,135.9,136,135.81,4708,,,,,,
AAPL,23/06/2022 12:30,135.86,135.81,135.86,135.81,1401,,,,,,
AAPL,23/06/2022 12:35,135.88,135.79,135.88,135.76,1031,,,,,,
AAPL,23/06/2022 12:40,135.88,135.99,136,135.86,1306,,,,,,
AAPL,23/06/2022 12:45,135.99,135.97,136.08,135.97,2157,,,,,,
AAPL,23/06/2022 12:50,136.07,136,136.07,136,106,,,,,,
AAPL,23/06/2022 12:55,136.05,136.23,136.3,136.05,3364,,,,,,
AAPL,23/06/2022 13:00,136.17,136.24,136.3,136.17,1738,,,,,,
AAPL,23/06/2022 13:05,136.17,136.27,136.3,136.17,2888,,,,,,
AAPL,23/06/2022 13:10,136.3,136.3,136.44,136.26,4123,,,,,,
AAPL,23/06/2022 13:15,136.27,136.26,136.27,136.2,1163,,,,,,
AAPL,23/06/2022 13:20,136.3,136.29,136.32,136.24,2395,,,,,,
AAPL,23/06/2022 13:25,136.34,136.55,136.71,136.34,7077,,,,,,
AAPL,23/06/2022 13:30,136.56,136.37,136.6,136.37,2691,,,,,,
AAPL,23/06/2022 13:35,136.31,136.47,136.6,136.31,2884,,,,,,
AAPL,23/06/2022 13:40,136.5,136.6,136.62,136.49,5212,,,,,,
AAPL,23/06/2022 13:45,136.64,136.75,136.75,136.48,8411,,,,,,
AAPL,23/06/2022 13:50,136.73,136.87,136.95,136.7,4031,,,,,,
AAPL,23/06/2022 13:55,136.84,136.81,136.9,136.73,3904,,,,,,
AAPL,23/06/2022 14:00,136.46,136.47,136.61,136.32,71467,,,,,,
