date,symbol,open,high,low,close,diff close-open,percentage,daily pnl%,daily %,buy&hold
03/02/2023,AAPL,148.03,157.38,147.83,154.5,6.47,0.043707357,2.212742425,0.096713123,2.309455548
06/02/2023,AAPL,152.575,153.1,150.78,151.73,-0.845,-0.00553826,2.309455548,-0.012790365,2.296665183
07/02/2023,AAPL,150.64,155.23,150.64,154.65,4.01,0.026619756,2.296665183,0.061136667,2.35780185
08/02/2023,AAPL,153.88,154.58,151.168,151.92,-1.96,-0.012737198,2.35780185,-0.030031789,2.327770061
09/02/2023,AAPL,153.775,154.33,150.42,150.87,-2.905,-0.018891237,2.327770061,-0.043974456,2.283795605
10/02/2023,AAPL,149.46,151.3401,149.22,151.01,1.55,0.010370668,2.283795605,0.023684486,2.307480091
13/02/2023,AAPL,150.952,154.26,150.92,153.85,2.898,0.019198156,2.307480091,0.044299363,2.351779454
14/02/2023,AAPL,152.12,153.77,150.86,153.2,1.08,0.007099658,2.351779454,0.01669683,2.368476284
15/02/2023,AAPL,153.11,155.5,152.88,155.33,2.22,0.01449938,2.368476284,0.034341438,2.402817721
16/02/2023,AAPL,153.51,156.33,153.3475,153.71,0.2,0.001302847,2.402817721,0.003130504,2.405948225
17/02/2023,AAPL,152.35,153,150.85,152.55,0.2,0.001312767,2.405948225,0.003158449,2.409106675
21/02/2023,AAPL,150.2,151.3,148.405,148.48,-1.72,-0.011451398,2.409106675,-0.027587639,2.381519035
22/02/2023,AAPL,148.87,149.95,147.16,148.91,0.04,0.000268691,2.381519035,0.000639893,2.382158928
23/02/2023,AAPL,150.09,150.34,147.24,149.4,-0.69,-0.004597242,2.382158928,-0.010951361,2.371207567
24/02/2023,AAPL,147.11,147.19,145.7202,146.71,-0.4,-0.002719054,2.371207567,-0.006447441,2.364760125
27/02/2023,AAPL,147.71,149.17,147.45,147.92,0.21,0.001421705,2.364760125,0.003361991,2.368122117
28/02/2023,AAPL,147.05,149.08,146.83,147.41,0.36,0.002448147,2.368122117,0.005797511,2.373919628
01/03/2023,AAPL,146.83,147.2285,145.01,145.31,-1.52,-0.010352108,2.373919628,-0.024575072,2.349344555
02/03/2023,AAPL,144.38,146.71,143.9,145.91,1.53,0.010597036,2.349344555,0.024896089,2.374240644
03/03/2023,AAPL,148.045,151.11,147.33,151.03,2.985,0.020162788,2.374240644,0.047871311,2.422111955
06/03/2023,AAPL,153.785,156.3,153.46,153.83,0.045,0.000292616,2.422111955,0.000708749,2.422820704
07/03/2023,AAPL,153.7,154.0299,151.13,151.6,-2.1,-0.01366298,2.422820704,-0.033102951,2.389717753
08/03/2023,AAPL,152.81,153.47,151.83,152.87,0.06,0.000392644,2.389717753,0.000938308,2.390656061
09/03/2023,AAPL,153.559,154.535,150.225,150.59,-2.969,-0.019334588,2.390656061,-0.04622235,2.344433711
10/03/2023,AAPL,150.21,150.94,147.6096,148.5,-1.71,-0.011384062,2.344433711,-0.026689179,2.317744533
13/03/2023,AAPL,147.805,153.14,147.7,150.47,2.665,0.018030513,2.317744533,0.041790123,2.359534655
14/03/2023,AAPL,151.28,153.4,150.1,152.59,1.31,0.008659439,2.359534655,0.020432246,2.379966902
15/03/2023,AAPL,151.19,153.245,149.92,152.99,1.8,0.011905549,2.379966902,0.028334813,2.408301714
16/03/2023,AAPL,152.16,156.46,151.64,155.85,3.69,0.024250789,2.408301714,0.058403217,2.466704931
17/03/2023,AAPL,156.08,156.74,154.28,155,-1.08,-0.006919528,2.466704931,-0.017068434,2.449636497
20/03/2023,AAPL,155.07,157.82,154.15,157.4,2.33,0.015025472,2.449636497,0.036806945,2.486443442
21/03/2023,AAPL,157.32,159.4,156.54,159.28,1.96,0.012458683,2.486443442,0.030977811,2.517421253
22/03/2023,AAPL,159.3,162.14,157.81,157.83,-1.47,-0.009227872,2.517421253,-0.023230441,2.494190811
23/03/2023,AAPL,158.83,161.5501,157.68,158.93,0.1,0.000629604,2.494190811,0.001570353,2.495761164
24/03/2023,AAPL,158.86,160.34,157.85,160.25,1.39,0.008749843,2.495761164,0.021837518,2.517598682
27/03/2023,AAPL,159.94,160.77,157.87,158.28,-1.66,-0.010378892,2.517598682,-0.026129885,2.491468797
28/03/2023,AAPL,157.97,158.49,155.98,157.65,-0.32,-0.002025701,2.491468797,-0.005046971,2.486421827
29/03/2023,AAPL,159.37,161.05,159.35,160.77,1.4,0.008784589,2.486421827,0.021842194,2.50826402
30/03/2023,AAPL,161.53,162.47,161.271,162.36,0.83,0.005138364,2.50826402,0.012888374,2.521152394
31/03/2023,AAPL,162.44,165,161.91,164.9,2.46,0.015144053,2.521152394,0.038180465,2.55933286
03/04/2023,AAPL,164.27,166.29,164.22,166.17,1.9,0.011566324,2.55933286,0.029602073,2.588934933
04/04/2023,AAPL,166.595,166.84,165.11,165.63,-0.965,-0.005792491,2.588934933,-0.014996382,2.57393855
05/04/2023,AAPL,164.74,165.05,161.8,163.76,-0.98,-0.005948768,2.57393855,-0.015311763,2.558626787
06/04/2023,AAPL,162.43,164.9584,162,164.66,2.23,0.013728991,2.558626787,0.035127364,2.593754151
10/04/2023,AAPL,161.42,162.03,160.08,162.03,0.61,0.003778962,2.593754151,0.009801698,2.60355585
11/04/2023,AAPL,162.35,162.36,160.51,160.8,-1.55,-0.009547274,2.60355585,-0.024856861,2.578698988
12/04/2023,AAPL,161.22,162.06,159.78,160.1,-1.12,-0.006947029,2.578698988,-0.017914297,2.560784692
13/04/2023,AAPL,161.63,165.8,161.42,165.56,3.93,0.024314793,2.560784692,0.06226495,2.623049641
