date,symbol,open,high,low,close
03/05/2023,AAPL,169.5,170.92,167.16,167.45
04/05/2023,AAPL,164.89,167.04,164.31,165.79
05/05/2023,AAPL,170.975,174.3,170.76,173.57
08/05/2023,AAPL,172.48,173.85,172.11,173.5
09/05/2023,AAPL,173.05,173.54,171.6,171.77
10/05/2023,AAPL,173.02,174.03,171.9,173.555
11/05/2023,AAPL,173.85,174.59,172.17,173.75
12/05/2023,AAPL,173.62,174.06,171,172.57
15/05/2023,AAPL,173.16,173.21,171.47,172.07
16/05/2023,AAPL,171.99,173.1383,171.7991,172.07
17/05/2023,AAPL,171.71,172.925,170.4201,172.69
18/05/2023,AAPL,173,175.24,172.58,175.05
19/05/2023,AAPL,176.39,176.39,174.94,175.16
22/05/2023,AAPL,173.98,174.71,173.45,174.2
23/05/2023,AAPL,173.13,173.3794,171.275,171.56
24/05/2023,AAPL,171.09,172.4183,170.52,171.84
25/05/2023,AAPL,172.41,173.895,171.69,172.99
26/05/2023,AAPL,173.32,175.77,173.11,175.43
30/05/2023,AAPL,176.96,178.99,176.57,177.3
31/05/2023,AAPL,177.325,179.35,176.76,177.25
01/06/2023,AAPL,177.7,180.12,176.9306,180.09
02/06/2023,AAPL,181.03,181.78,179.26,180.95
05/06/2023,AAPL,182.63,184.951,178.035,179.58
06/06/2023,AAPL,179.965,180.12,177.43,179.21
07/06/2023,AAPL,178.44,181.21,177.32,177.82
08/06/2023,AAPL,177.895,180.84,177.46,180.57
09/06/2023,AAPL,181.5,182.23,180.63,180.96
12/06/2023,AAPL,181.27,183.89,180.97,183.79
13/06/2023,AAPL,182.8,184.15,182.44,183.31
14/06/2023,AAPL,183.37,184.39,182.02,183.95
15/06/2023,AAPL,183.96,186.52,183.78,186.01
16/06/2023,AAPL,186.73,186.99,184.27,184.92
20/06/2023,AAPL,184.41,186.1,184.41,185.01
21/06/2023,AAPL,184.9,185.41,182.5901,183.96
22/06/2023,AAPL,183.74,187.045,183.67,187
23/06/2023,AAPL,185.55,187.56,185.01,186.68
26/06/2023,AAPL,186.83,188.05,185.23,185.27
27/06/2023,AAPL,185.89,188.39,185.67,188.06
28/06/2023,AAPL,187.93,189.9,187.6,189.25
29/06/2023,AAPL,189.08,190.07,188.94,189.59
30/06/2023,AAPL,191.63,194.48,191.26,193.97
03/07/2023,AAPL,193.78,193.88,191.76,192.46
05/07/2023,AAPL,191.565,192.98,190.62,191.33
06/07/2023,AAPL,189.84,192.02,189.2,191.81
07/07/2023,AAPL,191.41,192.67,190.24,190.68
10/07/2023,AAPL,189.26,189.99,187.035,188.61
